1:[(2, 'BLUE'), (5, 'BLUE'), (9, 'RED'), (7, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (9, 'RED'), (7, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (4, 'RED'), (10, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (7, 'RED'), (5, 'WHITE'), (2, 'RED'), (8, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (3, 'WHITE')]
12:[(2, 'WHITE'), (8, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (0, 'RED'), (7, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (6, 'RED'), (1, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (0, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (9, 'WHITE'), (2, 'RED'), (7, 'WHITE'), (5, 'RED'), (4, 'WHITE'), (10, 'WHITE'), (6, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (6, 'RED'), (10, 'WHITE')]
13:[(3, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (9, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (6, 'RED'), (8, 'WHITE'), (10, 'RED'), (0, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (5, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (8, 'RED'), (8, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (0, 'RED'), (9, 'WHITE'), (3, 'WHITE'), (5, 'RED'), (9, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (10, 'WHITE')]
14:[(0, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (2, 'WHITE'), (5, 'RED'), (2, 'WHITE'), (5, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (3, 'RED'), (8, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (4, 'RED'), (8, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'RED'), (5, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (10, 'WHITE'), (8, 'RED'), (7, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (3, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (1, 'WHITE')]
15:[(7, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (0, 'RED'), (3, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (7, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (2, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (1, 'RED'), (10, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (6, 'RED'), (7, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (7, 'RED'), (6, 'WHITE')]
16:[(10, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (2, 'RED'), (7, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (1, 'RED'), (7, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (5, 'RED'), (5, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (6, 'RED'), (2, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (1, 'WHITE'), (7, 'RED'), (8, 'WHITE'), (2, 'WHITE'), (5, 'RED'), (3, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (1, 'WHITE')]
17:[(5, 'WHITE'), (2, 'RED'), (10, 'WHITE'), (2, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (5, 'RED'), (10, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (4, 'RED'), (9, 'WHITE'), (4, 'WHITE'), (9, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (2, 'RED'), (0, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (7, 'WHITE')]
18:[(10, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (6, 'RED'), (4, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (6, 'RED'), (3, 'WHITE'), (4, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (7, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (9, 'WHITE'), (3, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (7, 'RED'), (6, 'WHITE'), (1, 'RED'), (5, 'WHITE')]
19:[(2, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (10, 'WHITE'), (8, 'WHITE'), (5, 'WHITE'), (7, 'RED'), (9, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (9, 'WHITE'), (2, 'RED'), (0, 'WHITE'), (0, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (9, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (10, 'WHITE'), (1, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (7, 'RED'), (9, 'RED'), (3, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (10, 'WHITE')]
20:[(4, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (8, 'WHITE'), (7, 'WHITE'), (6, 'RED'), (0, 'WHITE'), (1, 'WHITE'), (5, 'RED'), (6, 'WHITE'), (0, 'WHITE'), (9, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (5, 'WHITE'), (6, 'RED'), (6, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (1, 'WHITE'), (5, 'WHITE'), (8, 'RED'), (2, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (1, 'WHITE'), (7, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (7, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (1, 'WHITE')]
21:[(10, 'WHITE'), (1, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (3, 'WHITE'), (6, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (7, 'WHITE'), (9, 'WHITE'), (7, 'RED'), (9, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (7, 'RED'), (9, 'WHITE'), (3, 'RED'), (3, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (0, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (0, 'RED'), (3, 'WHITE'), (6, 'RED'), (3, 'WHITE'), (4, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (7, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (3, 'RED'), (9, 'WHITE'), (0, 'WHITE'), (2, 'WHITE'), (4, 'WHITE'), (5, 'WHITE'), (5, 'WHITE')]
22:[(1, 'WHITE'), (3, 'RED'), (5, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (2, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (3, 'WHITE'), (8, 'WHITE'), (8, 'RED'), (10, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (3, 'WHITE'), (7, 'WHITE'), (4, 'WHITE'), (4, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (0, 'WHITE'), (8, 'WHITE'), (10, 'WHITE'), (1, 'WHITE'), (7, 'WHITE'), (5, 'RED'), (1, 'WHITE'), (1, 'WHITE'), (0, 'WHITE'), (4, 'RED'), (2, 'WHITE')]
23:[(10, 'WHITE'), (2, 'RED'), (8, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (4, 'RED'), (2, 'WHITE'), (10, 'WHITE'), (10, 'WHITE'), (2, 'WHITE'), (6, 'WHITE'), (10, 'WHITE'), (0, 'RED'), (10, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (2, 'RED'), (3, 'WHITE'), (10, 'RED'), (0, 'RED'), (1, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (7, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (9, 'WHITE'), (1, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (2, 'WHITE'), (3, 'WHITE'), (0, 'WHITE'), (6, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (10, 'WHITE'), (5, 'WHITE'), (4, 'WHITE'), (0, 'WHITE'), (6, 'RED'), (10, 'WHITE'), (9, 'WHITE'), (5, 'WHITE')]
24:[(5, 'WHITE'), (8, 'WHITE'), (2, 'WHITE'), (0, 'WHITE'), (9, 'WHITE'), (10, 'RED'), (7, 'WHITE'), (8, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (6, 'WHITE'), (5, 'WHITE'), (8, 'WHITE'), (9, 'WHITE'), (9, 'WHITE'), (8, 'WHITE'), (6, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (8, 'RED'), (2, 'WHITE'), (8, 'WHITE'), (2, 'RED'), (4, 'WHITE'), (0, 'WHITE'), (5, 'WHITE'), (9, 'WHITE'), (9, 'WHITE'), (6, 'WHITE'), (7, 'WHITE'), (8, 'WHITE'), (1, 'WHITE'), (10, 'WHITE'), (3, 'WHITE'), (4, 'WHITE'), (1, 'WHITE'), (2, 'WHITE'), (9, 'WHITE'), (7, 'WHITE'), (1, 'WHITE'), (7, 'WHITE'), (10, 'WHITE'), (0, 'WHITE'), (2, 'RED'), (5, 'WHITE'), (1, 'WHITE'), (9, 'WHITE'), (7, 'WHITE')]
